Block	Previous_Time	Current_Time	Orientation	Accuracy	Response_Time	Key
2	 3.571429E+02	 4.421429E+02	 1	 1	 4.219480E-01	 2	 
2	 3.846154E+02	 4.696154E+02	 1	 1	 2.634361E-01	 2	 
2	 4.545455E+02	 6.645455E+02	 1	 1	 3.378749E-01	 2	 
2	 3.846154E+02	 4.696154E+02	 1	 1	 4.190581E-01	 2	 
2	 4.166667E+02	 5.266667E+02	 1	 1	 6.140592E-01	 2	 
2	 4.545455E+02	 6.395455E+02	 1	 1	 7.194569E-01	 2	 
2	 4.545455E+02	 6.395455E+02	 1	 1	 5.568171E-01	 2	 
2	 3.571429E+02	 2.721429E+02	 -1	 1	 5.296531E-01	 1	 
2	 3.846154E+02	 2.996154E+02	 -1	 1	 3.815899E-01	 1	 
2	 4.545455E+02	 7.395455E+02	 1	 1	 3.950889E-01	 2	 
2	 5.000000E+02	 6.850000E+02	 1	 1	 3.146570E-01	 2	 
2	 4.545455E+02	 6.395455E+02	 1	 1	 2.757142E-01	 2	 
2	 4.166667E+02	 3.316667E+02	 -1	 1	 5.140469E-01	 1	 
2	 5.000000E+02	 6.850000E+02	 1	 1	 2.734149E-01	 2	 
2	 3.846154E+02	 2.996154E+02	 -1	 1	 1.560092E+00	 1	 
2	 5.000000E+02	 3.400000E+02	 -1	 1	 3.212481E-01	 1	 
2	 3.846154E+02	 4.696154E+02	 1	 1	 3.198619E-01	 2	 
2	 4.545455E+02	 6.145455E+02	 1	 1	 3.194771E-01	 2	 
2	 5.000000E+02	 6.600000E+02	 1	 1	 2.722881E-01	 2	 
2	 4.545455E+02	 2.945455E+02	 -1	 1	 3.885381E-01	 1	 
2	 3.846154E+02	 4.446154E+02	 1	 1	 4.255390E-01	 2	 
2	 4.166667E+02	 3.316667E+02	 -1	 1	 5.540259E-01	 1	 
2	 4.545455E+02	 2.945455E+02	 -1	 1	 3.857479E-01	 1	 
2	 5.000000E+02	 3.400000E+02	 -1	 1	 3.757851E-01	 1	 
2	 3.571429E+02	 2.721429E+02	 -1	 1	 3.721490E-01	 1	 
2	 3.571429E+02	 4.421429E+02	 1	 0	 9.326870E-01	 1	 
2	 4.166667E+02	 4.766667E+02	 1	 1	 4.541349E-01	 2	 
2	 3.846154E+02	 4.446154E+02	 1	 1	 9.778960E-01	 2	 
2	 4.166667E+02	 4.766667E+02	 1	 1	 5.142710E-01	 2	 
2	 5.000000E+02	 3.400000E+02	 -1	 1	 4.873490E-01	 1	 
2	 5.000000E+02	 6.600000E+02	 1	 1	 3.417330E-01	 2	 
2	 3.571429E+02	 5.921429E+02	 1	 1	 2.923980E-01	 2	 
2	 3.846154E+02	 4.446154E+02	 1	 1	 4.271190E-01	 2	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 4.467490E-01	 1	 
2	 3.571429E+02	 5.421429E+02	 1	 1	 4.265461E-01	 2	 
2	 4.545455E+02	 5.895455E+02	 1	 1	 3.095210E-01	 2	 
2	 5.000000E+02	 3.650000E+02	 -1	 1	 3.089199E-01	 1	 
2	 4.166667E+02	 4.766667E+02	 1	 1	 4.093032E-01	 2	 
2	 4.545455E+02	 5.895455E+02	 1	 1	 6.756811E-01	 2	 
2	 5.000000E+02	 6.350000E+02	 1	 1	 3.660629E-01	 2	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 3.705230E-01	 1	 
2	 5.000000E+02	 3.650000E+02	 -1	 1	 5.756261E-01	 1	 
2	 4.166667E+02	 3.816667E+02	 -1	 0	 3.097320E-01	 2	 
2	 3.846154E+02	 4.446154E+02	 1	 1	 4.471910E-01	 2	 
2	 3.571429E+02	 5.171429E+02	 1	 0	 4.716091E-01	 1	 
2	 4.545455E+02	 5.895455E+02	 1	 1	 4.570732E-01	 2	 
2	 3.571429E+02	 6.421429E+02	 1	 1	 5.322871E-01	 2	 
2	 5.000000E+02	 3.900000E+02	 -1	 1	 3.630109E-01	 1	 
2	 4.545455E+02	 3.445455E+02	 -1	 1	 8.368602E-01	 1	 
2	 4.166667E+02	 4.766667E+02	 1	 1	 2.887211E-01	 2	 
2	 4.166667E+02	 3.566667E+02	 -1	 1	 3.920982E-01	 1	 
2	 3.571429E+02	 6.421429E+02	 1	 1	 8.780911E-01	 2	 
2	 3.571429E+02	 7.214286E+01	 -1	 1	 5.165782E-01	 1	 
2	 4.166667E+02	 3.566667E+02	 -1	 0	 4.949410E-01	 2	 
2	 4.545455E+02	 5.645455E+02	 1	 1	 3.417959E-01	 2	 
2	 4.545455E+02	 5.645455E+02	 1	 1	 4.072988E-01	 2	 
2	 3.846154E+02	 4.196154E+02	 1	 0	 7.913270E-01	 1	 
2	 5.000000E+02	 3.900000E+02	 -1	 1	 5.638800E-01	 1	 
2	 4.166667E+02	 5.016667E+02	 1	 1	 3.243999E-01	 2	 
2	 3.846154E+02	 4.446154E+02	 1	 0	 1.010264E+00	 1	 
2	 3.571429E+02	 6.421429E+02	 1	 1	 3.283188E-01	 2	 
2	 3.846154E+02	 2.996154E+02	 -1	 1	 2.855320E-01	 1	 
2	 5.000000E+02	 3.900000E+02	 -1	 1	 3.535931E-01	 1	 
2	 5.000000E+02	 4.150000E+02	 -1	 1	 2.844551E-01	 1	 
2	 3.571429E+02	 6.421429E+02	 1	 1	 2.843010E-01	 2	 
2	 3.571429E+02	 7.214286E+01	 -1	 1	 5.216749E-01	 1	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 2.560940E-01	 1	 
2	 4.166667E+02	 5.016667E+02	 1	 1	 3.550599E-01	 2	 
2	 5.000000E+02	 4.150000E+02	 -1	 1	 3.970399E-01	 1	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 6.727262E-01	 1	 
2	 4.166667E+02	 3.316667E+02	 -1	 0	 3.556659E-01	 2	 
2	 4.166667E+02	 7.016667E+02	 1	 1	 3.389091E-01	 2	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 5.970459E-01	 1	 
2	 3.571429E+02	 6.421429E+02	 1	 1	 3.168089E-01	 2	 
2	 3.846154E+02	 2.746154E+02	 -1	 1	 4.816530E-01	 1	 
2	 3.846154E+02	 4.446154E+02	 1	 1	 2.779191E-01	 2	 
2	 4.166667E+02	 7.016667E+02	 1	 1	 2.859659E-01	 2	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 6.540480E-01	 1	 
2	 5.000000E+02	 4.400000E+02	 -1	 1	 9.477980E-01	 1	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 3.628278E-01	 1	 
2	 4.166667E+02	 1.316667E+02	 -1	 1	 4.502881E-01	 1	 
2	 5.000000E+02	 5.600000E+02	 1	 1	 3.241959E-01	 2	 
2	 4.545455E+02	 5.645455E+02	 1	 0	 2.313299E-01	 1	 
2	 4.545455E+02	 7.395455E+02	 1	 1	 2.916501E-01	 2	 
2	 4.545455E+02	 1.695455E+02	 -1	 1	 4.173269E-01	 1	 
2	 5.000000E+02	 4.400000E+02	 -1	 1	 4.012759E-01	 1	 
2	 3.846154E+02	 3.246154E+02	 -1	 1	 3.340700E-01	 1	 
2	 3.571429E+02	 5.171429E+02	 1	 1	 2.920802E-01	 2	 
2	 3.571429E+02	 1.971429E+02	 -1	 1	 3.739638E-01	 1	 
2	 5.000000E+02	 4.400000E+02	 -1	 1	 6.678600E-01	 1	 
2	 5.000000E+02	 4.650000E+02	 -1	 0	 4.221890E-01	 2	 
3	 4.545455E+02	 7.145455E+02	 1	 1	 1.121693E+00	 2	 
3	 4.166667E+02	 2.816667E+02	 -1	 1	 2.317810E-01	 1	 
3	 4.166667E+02	 5.516667E+02	 1	 1	 2.598572E-01	 2	 
3	 4.166667E+02	 3.066667E+02	 -1	 1	 3.920059E-01	 1	 
3	 4.166667E+02	 3.066667E+02	 -1	 1	 5.912080E-01	 1	 
3	 4.166667E+02	 3.066667E+02	 -1	 1	 3.174181E-01	 1	 
3	 4.545455E+02	 2.195455E+02	 -1	 1	 2.859330E-01	 1	 
3	 4.166667E+02	 3.316667E+02	 -1	 1	 2.488401E-01	 1	 
3	 3.846154E+02	 4.446154E+02	 1	 1	 3.951929E-01	 2	 
3	 3.846154E+02	 3.246154E+02	 -1	 1	 5.428672E-01	 1	 
3	 3.571429E+02	 5.171429E+02	 1	 1	 8.777530E-01	 2	 
3	 4.166667E+02	 5.016667E+02	 1	 1	 3.511059E-01	 2	 
3	 3.846154E+02	 4.196154E+02	 1	 1	 4.164960E-01	 2	 
3	 3.571429E+02	 4.921429E+02	 1	 1	 3.470140E-01	 2	 
3	 5.000000E+02	 4.400000E+02	 -1	 1	 4.735630E-01	 1	 
3	 5.000000E+02	 4.400000E+02	 -1	 0	 3.859351E-01	 2	 
3	 4.545455E+02	 5.895455E+02	 1	 1	 3.496928E-01	 2	 
3	 4.545455E+02	 3.195455E+02	 -1	 1	 3.993409E-01	 1	 
3	 3.571429E+02	 2.471429E+02	 -1	 1	 3.471601E-01	 1	 
3	 3.846154E+02	 3.496154E+02	 -1	 1	 6.243379E-01	 1	 
3	 5.000000E+02	 7.850000E+02	 1	 1	 3.116121E-01	 2	 
3	 3.571429E+02	 4.671429E+02	 1	 1	 7.048202E-01	 2	 
3	 4.166667E+02	 5.016667E+02	 1	 1	 4.285171E-01	 2	 
3	 3.846154E+02	 3.496154E+02	 -1	 1	 8.447471E-01	 1	 
3	 3.571429E+02	 2.721429E+02	 -1	 1	 8.579540E-01	 1	 
3	 4.545455E+02	 5.895455E+02	 1	 1	 3.324280E-01	 2	 
3	 5.000000E+02	 5.850000E+02	 1	 1	 3.183410E-01	 2	 
3	 3.571429E+02	 4.671429E+02	 1	 1	 3.149998E-01	 2	 
3	 5.000000E+02	 4.150000E+02	 -1	 1	 1.160046E+00	 1	 
3	 3.571429E+02	 2.721429E+02	 -1	 0	 1.018328E+00	 2	 
3	 4.545455E+02	 5.645455E+02	 1	 1	 6.192129E-01	 2	 
3	 4.545455E+02	 3.445455E+02	 -1	 1	 4.880149E-01	 1	 
3	 4.545455E+02	 5.645455E+02	 1	 1	 3.127770E-01	 2	 
3	 3.846154E+02	 3.496154E+02	 -1	 1	 8.556759E-01	 1	 
3	 3.846154E+02	 3.496154E+02	 -1	 0	 6.349609E-01	 2	 
3	 4.545455E+02	 3.445455E+02	 -1	 1	 1.141093E+00	 1	 
3	 5.000000E+02	 4.150000E+02	 -1	 0	 8.849311E-01	 2	 
3	 3.846154E+02	 2.996154E+02	 -1	 1	 6.273651E-01	 1	 
3	 3.846154E+02	 4.196154E+02	 1	 1	 6.039770E-01	 2	 
3	 4.545455E+02	 3.695455E+02	 -1	 1	 1.170472E+00	 1	 
3	 4.166667E+02	 3.316667E+02	 -1	 1	 7.704930E-01	 1	 
3	 3.571429E+02	 4.671429E+02	 1	 1	 3.371921E-01	 2	 
3	 3.846154E+02	 4.196154E+02	 1	 1	 9.837661E-01	 2	 
3	 5.000000E+02	 2.150000E+02	 -1	 1	 7.353160E-01	 1	 
3	 4.166667E+02	 4.766667E+02	 1	 1	 9.229538E-01	 2	 
3	 3.571429E+02	 2.721429E+02	 -1	 1	 6.027310E-01	 1	 
3	 5.000000E+02	 2.150000E+02	 -1	 1	 2.860770E-01	 1	 
3	 3.846154E+02	 4.946154E+02	 1	 1	 8.754082E-01	 2	 
3	 4.545455E+02	 3.695455E+02	 -1	 1	 3.998950E-01	 1	 
3	 5.000000E+02	 7.850000E+02	 1	 1	 2.585092E-01	 2	 
3	 4.545455E+02	 5.395455E+02	 1	 0	 7.032390E-01	 1	 
3	 4.545455E+02	 3.195455E+02	 -1	 1	 5.609369E-01	 1	 
3	 4.545455E+02	 5.895455E+02	 1	 1	 2.746451E-01	 2	 
3	 4.166667E+02	 4.766667E+02	 1	 1	 8.236802E-01	 2	 
3	 3.846154E+02	 4.196154E+02	 1	 1	 4.696560E-01	 2	 
3	 3.571429E+02	 2.221429E+02	 -1	 1	 3.182909E-01	 1	 
3	 3.571429E+02	 2.721429E+02	 -1	 1	 3.604460E-01	 1	 
3	 5.000000E+02	 7.600000E+02	 1	 1	 2.841470E-01	 2	 
3	 4.545455E+02	 3.445455E+02	 -1	 1	 4.358761E-01	 1	 
3	 4.166667E+02	 4.766667E+02	 1	 1	 4.014449E-01	 2	 
3	 5.000000E+02	 7.350000E+02	 1	 1	 3.032420E-01	 2	 
3	 4.166667E+02	 4.766667E+02	 1	 1	 3.454609E-01	 2	 
3	 3.571429E+02	 2.471429E+02	 -1	 1	 4.876330E-01	 1	 
3	 4.166667E+02	 4.766667E+02	 1	 1	 4.235969E-01	 2	 
3	 3.846154E+02	 4.696154E+02	 1	 1	 2.708290E-01	 2	 
3	 3.571429E+02	 4.171429E+02	 1	 1	 3.367682E-01	 2	 
3	 3.846154E+02	 4.196154E+02	 1	 0	 8.181109E-01	 1	 
3	 3.846154E+02	 3.496154E+02	 -1	 1	 3.735449E-01	 1	 
3	 3.571429E+02	 2.971429E+02	 -1	 1	 3.292069E-01	 1	 
3	 5.000000E+02	 3.900000E+02	 -1	 1	 3.547049E-01	 1	 
3	 4.166667E+02	 3.566667E+02	 -1	 1	 7.895169E-01	 1	 
3	 5.000000E+02	 6.100000E+02	 1	 1	 3.693039E-01	 2	 
3	 4.166667E+02	 4.766667E+02	 1	 1	 4.990101E-01	 2	 
3	 5.000000E+02	 6.100000E+02	 1	 0	 6.631260E-01	 1	 
3	 4.545455E+02	 3.695455E+02	 -1	 1	 5.128949E-01	 1	 
3	 3.571429E+02	 2.221429E+02	 -1	 1	 3.568220E-01	 1	 
3	 3.571429E+02	 4.171429E+02	 1	 1	 4.045250E-01	 2	 
3	 3.846154E+02	 3.496154E+02	 -1	 1	 5.511901E-01	 1	 
3	 3.846154E+02	 4.696154E+02	 1	 1	 3.589091E-01	 2	 
3	 4.166667E+02	 4.766667E+02	 1	 1	 5.189660E-01	 2	 
3	 3.846154E+02	 3.496154E+02	 -1	 1	 1.093113E+00	 1	 
3	 3.571429E+02	 2.221429E+02	 -1	 1	 3.078890E-01	 1	 
3	 5.000000E+02	 2.400000E+02	 -1	 1	 5.130959E-01	 1	 
3	 5.000000E+02	 7.350000E+02	 1	 1	 3.394248E-01	 2	 
3	 5.000000E+02	 7.350000E+02	 1	 1	 3.001490E-01	 2	 
3	 4.166667E+02	 4.766667E+02	 1	 0	 8.525090E-01	 1	 
3	 5.000000E+02	 6.350000E+02	 1	 1	 3.360360E-01	 2	 
3	 3.846154E+02	 2.996154E+02	 -1	 1	 6.646960E-01	 1	 
3	 4.166667E+02	 3.066667E+02	 -1	 1	 4.460599E-01	 1	 
3	 4.166667E+02	 5.266667E+02	 1	 1	 9.979041E-01	 2	 
3	 4.166667E+02	 5.016667E+02	 1	 1	 3.589249E-01	 2	 
3	 5.000000E+02	 7.100000E+02	 1	 1	 4.331539E-01	 2	 
3	 4.545455E+02	 5.895455E+02	 1	 1	 2.822421E-01	 2	 
3	 5.000000E+02	 6.100000E+02	 1	 1	 3.581140E-01	 2	 
3	 3.846154E+02	 3.496154E+02	 -1	 0	 1.075474E+00	 2	 
3	 3.846154E+02	 3.496154E+02	 -1	 1	 5.833549E-01	 1	 
3	 4.166667E+02	 5.016667E+02	 1	 0	 2.945840E-01	 1	 
3	 3.571429E+02	 2.971429E+02	 -1	 0	 4.187729E-01	 2	 
3	 4.166667E+02	 2.566667E+02	 -1	 1	 4.925978E-01	 1	 
3	 3.846154E+02	 4.196154E+02	 1	 1	 3.250139E-01	 2	 
4	 4.545455E+02	 3.695455E+02	 -1	 1	 4.097841E-01	 1	 
4	 3.846154E+02	 4.696154E+02	 1	 1	 2.420249E-01	 2	 
4	 4.166667E+02	 5.516667E+02	 1	 1	 2.392490E-01	 2	 
4	 3.571429E+02	 2.971429E+02	 -1	 1	 4.457979E-01	 1	 
4	 3.846154E+02	 3.496154E+02	 -1	 0	 3.486531E-01	 2	 
4	 4.545455E+02	 5.895455E+02	 1	 1	 2.043400E-01	 2	 
4	 4.545455E+02	 5.395455E+02	 1	 1	 2.407119E-01	 2	 
4	 5.000000E+02	 6.100000E+02	 1	 1	 2.970760E-01	 2	 
4	 3.846154E+02	 3.496154E+02	 -1	 1	 5.380630E-01	 1	 
4	 3.846154E+02	 4.196154E+02	 1	 1	 9.358420E-01	 2	 
4	 3.571429E+02	 4.921429E+02	 1	 1	 2.746952E-01	 2	 
4	 3.571429E+02	 2.971429E+02	 -1	 1	 3.544731E-01	 1	 
4	 4.545455E+02	 3.945455E+02	 -1	 1	 9.044240E-01	 1	 
4	 4.166667E+02	 2.816667E+02	 -1	 1	 3.050692E-01	 1	 
4	 4.166667E+02	 5.516667E+02	 1	 1	 2.827849E-01	 2	 
4	 4.545455E+02	 5.895455E+02	 1	 1	 4.871297E-02	 2	 
4	 5.000000E+02	 5.850000E+02	 1	 1	 2.763410E-01	 2	 
4	 4.545455E+02	 3.945455E+02	 -1	 1	 2.394381E-01	 1	 
4	 4.545455E+02	 3.945455E+02	 -1	 0	 5.978391E-01	 2	 
4	 3.571429E+02	 2.221429E+02	 -1	 1	 8.261118E-01	 1	 
4	 3.571429E+02	 4.171429E+02	 1	 1	 5.002069E-01	 2	 
4	 3.846154E+02	 2.996154E+02	 -1	 1	 7.017741E-01	 1	 
4	 3.571429E+02	 4.921429E+02	 1	 1	 3.164570E-01	 2	 
4	 5.000000E+02	 3.150000E+02	 -1	 1	 3.856230E-01	 1	 
4	 4.166667E+02	 5.516667E+02	 1	 1	 9.523470E-01	 2	 
4	 4.166667E+02	 5.516667E+02	 1	 1	 8.707559E-01	 2	 
4	 5.000000E+02	 4.150000E+02	 -1	 1	 4.857621E-01	 1	 
4	 4.545455E+02	 5.895455E+02	 1	 1	 3.624809E-01	 2	 
4	 5.000000E+02	 3.650000E+02	 -1	 1	 1.067457E+00	 1	 
4	 4.166667E+02	 5.266667E+02	 1	 1	 3.635080E-01	 2	 
4	 4.545455E+02	 5.395455E+02	 1	 1	 1.908547E+00	 2	 
4	 5.000000E+02	 5.850000E+02	 1	 1	 3.092489E-01	 2	 
4	 3.846154E+02	 4.196154E+02	 1	 1	 5.273201E-01	 2	 
4	 3.846154E+02	 2.996154E+02	 -1	 1	 3.280308E-01	 1	 
4	 3.846154E+02	 3.496154E+02	 -1	 1	 2.947211E-01	 1	 
